Places,latitude,longitude
Sikkim Namchi,27.167,88.365
Sikkim Ravangla,27.306,88.364
Sikkim Damthang,27.233,88.383
Sikkim Temi Tarku,27.237,88.438
Sikkim Phur Chachu in South Sikkim,27.285,88.394
Sikkim Pelling,27.319,88.24
Sikkim Yuksom,27.372,88.221
Sikkim Kaluk,27.232,88.252
Sikkim Bermiok,27.26,88.38
Sikkim Dentam,27.254,88.136
Sikkim Daramdin,27.135,88.165
Sikkim Gurudongmar,28.025,88.709
Sikkim Lachung,27.689,88.743
Sikkim Lachen in North District,27.716,88.557
Tripura 14 Debata Bari Temple of 14 Gods Temple,23.5,91.16
Tripura Maharaja Bir Bikram College  Agartala West Tripura,23.899,91.404
Tripura Ujjayanta Palace Agartala,23.837,91.282
Tripura Brahmakunda Mohanpur,23.965,91.371
Tripura Jagannath Mandi Agartala,23.88,91.37
Tripura Benuban vihar Agartala,23.16,91.09
Tripura Banabithi Khowai District,24.067,91.605
Tripura Baramura Eco Park Teliamura Khowai,23.818,91.580
Tripura Sipahijal Bishalgarh Sipahijala ,23.674,91.281
Tripura Kamalasagar Bishalgarh Sipahijala ,23.676,91.282
Tripura Neermahal Palace Melaghar Sipahijala,23.62,91.30 
Tripura Tripureswari Mandir Matabari Gomati District,23.940,91.988
Tripura Bhubeneswari Mandir Udaipur Gomati District,23.938,91.978
Tripura Tepania Eco Park Gomati ,23.945,91.976
Tripura Chabimura Amarpur Gomati ,23.944,91.9
Tripura Pilak Jolaibari ,23.216,91.610
Tripura Trishna Wild Life Sanctuary,23.279,91.401
Tripura Mahamuni Pagoda,22.56,92.56
Tripura Kalapania Nature Park Kalachara,23.050,91.67
Tripura Unokoti Kailashahar,24.326,92.012
Tripura Jampui Hill Kanchanpur,24.079,92.263
Tripura Roa Wild Life Sanctuary Panisagar,24.253,92.149
Tripura Dumboor lake Gandacharra ,23.475,91.844
